lat,long,city,country,max temp,humidity,cloudiness,wind speed,date
-26.65,15.16,luderitz,na,64.42,52.0,0.0,16.53,1599706692
33.19,-82.53,avera,pf,77.0,89.0,40.0,3.36,1599706969
55.1,-105.28,la ronge,ca,53.6,76.0,20.0,4.7,1599706695
69.7,170.31,pevek,ru,41.02,95.0,100.0,5.57,1599706688
29.58,-9.5,tiznit,ma,73.11,41.0,0.0,2.86,1599706970
50.41,80.23,semey,kz,50.0,81.0,34.0,6.71,1599706970
62.46,-114.35,yellowknife,ca,48.2,70.0,40.0,4.7,1599706693
43.21,-75.46,roma,au,73.4,73.0,1.0,5.82,1599706970
73.73400522372731,-179.10132559794047,mys shmidta,ru,,,,,
-30.18,-50.21,cidreira,br,64.24,97.0,100.0,15.37,1599706701
27.73,111.99,loudi,cn,82.76,78.0,75.0,3.31,1599706971
48.023817859363106,51.78041876198074,inderborskiy,kz,,,,,
48.1844326778764,125.27831181660059,yian,cn,,,,,
22.117601671310425,36.983686423211054,jiddah,sa,,,,,
69.45,-133.04,tuktoyaktuk,ca,39.2,93.0,90.0,11.41,1599706640
6.12,81.12,hambantota,lk,77.0,100.0,40.0,4.7,1599706972
50.63,-96.99,gimli,ca,51.01,93.0,0.0,7.0,1599706972
-51.62,-69.22,rio gallegos,ar,42.8,56.0,100.0,31.09,1599706972
50.37,137.5,selikhino,ru,61.07,64.0,50.0,15.19,1599706972
-17.29,-42.73,turmalina,br,59.7,77.0,18.0,1.95,1599706973
9.06,-62.05,tucupita,ve,74.52,96.0,100.0,1.48,1599706973
67.67,53.09,naryan-mar,ru,54.73,88.0,100.0,14.14,1599706973
-18.06,13.84,opuwo,na,58.44,30.0,0.0,8.05,1599706973
37.33,-87.5,madisonville,us,73.4,83.0,1.0,4.7,1599706957
54.72,135.31,chumikan,ru,54.93,63.0,75.0,4.38,1599706974
39.6,-110.81,price,us,50.0,46.0,20.0,16.11,1599706974
55.74,-97.86,thompson,ca,55.4,71.0,90.0,9.17,1599706676
15.28,-86.97,jocon,hn,67.69,100.0,98.0,2.93,1599706974
20.71,70.98,diu,in,80.98,81.0,63.0,8.72,1599706652
-20.34,57.76,bambous virieux,mu,70.0,88.0,75.0,17.22,1599706652
41.3,13.03,sabaudia,it,73.99,70.0,0.0,3.0,1599706975
20.2,1.01,tessalit,ml,90.03,15.0,5.0,6.73,1599706975
28.66,-17.92,los llanos de aridane,es,82.0,88.0,40.0,17.22,1599706975
14.9,-24.5,sao filipe,cv,79.66,86.0,76.0,3.85,1599706976
-33.87,121.9,esperance,au,68.0,60.0,75.0,21.92,1599706644
37.1,-113.58,saint george,bm,71.6,18.0,1.0,20.8,1599706847
-16.5,27.61,gwembe,zm,51.58,57.0,0.0,2.13,1599706976
-23.94,31.14,phalaborwa,za,60.8,87.0,0.0,5.82,1599706826
25.3,93.17,maibong,in,80.91,78.0,89.0,3.22,1599706976
41.87,-103.67,scottsbluff,us,42.8,68.0,1.0,3.36,1599706708
51.07,-1.8,salisbury,ca,53.6,81.0,5.0,4.7,1599706977
17.795808141334717,-11.50691061293665,maghama,mr,,,,,
-7.95,110.28,bambanglipuro,id,82.24,65.0,86.0,13.47,1599706977
-23.7,133.88,alice springs,au,87.8,14.0,0.0,12.75,1599706977
-38.27,141.97,codrington,ag,62.38,67.0,0.0,6.71,1599706683
0.8,127.4,ternate,id,83.37,73.0,23.0,4.83,1599706681
67.63,134.63,batagay,ru,57.11,43.0,0.0,2.98,1599706698
30.8,108.39,wanxian,cn,78.51,71.0,70.0,5.61,1599706978
14.97,8.89,tanout,ne,85.23,49.0,0.0,9.44,1599706978
28.37,129.48,naze,jp,82.4,83.0,75.0,12.75,1599706978
-45.87,170.5,dunedin,nz,54.0,58.0,44.0,4.0,1599706928
-25.17,46.08,ambovombe,mg,66.88,87.0,0.0,5.93,1599706979
-11.38,43.28,mitsamiouli,km,76.5,75.0,0.0,5.37,1599706979
-17.88,36.89,quelimane,mz,62.6,93.0,20.0,3.09,1599706979
41.707194072941235,82.74744125334792,kuche,cn,,,,,
-15.86,-38.88,belmonte,br,73.4,83.0,75.0,5.82,1599706980
-15.2,12.15,namibe,ao,66.52,91.0,45.0,3.56,1599706675
13.93,-84.4,rosita,ni,75.34,96.0,96.0,1.01,1599706980
65.85,44.24,mezen,ru,47.14,91.0,100.0,8.99,1599706980
-34.73,135.87,port lincoln,au,64.53,66.0,98.0,14.25,1599706683
61.72047963000401,-83.57055639673992,attawapiskat,ca,,,,,
2.04,45.34,mogadishu,so,76.84,84.0,32.0,16.55,1599706743
35.76,-83.97,maryville,us,77.0,83.0,40.0,3.36,1599706981
60.6,15.63,falun,se,45.0,93.0,86.0,9.17,1599706981
-15.460591621150186,-168.33747517892613,satitoa,ws,,,,,
39.05,-27.98,lagoa,pt,71.78,86.0,0.0,13.06,1599706643
11.67,92.75,port blair,in,83.39,76.0,100.0,5.28,1599706982
30.48,-115.95,san quintin,mx,73.35,66.0,0.0,8.52,1599706982
32.35,-85.2,russell,nz,80.6,74.0,75.0,4.07,1599706982
-41.87,-73.82,ancud,cl,46.0,97.0,100.0,27.0,1599706983
30.3,108.85,lichuan,cn,66.18,93.0,94.0,2.01,1599706983
13.3,19.7,oum hadjer,td,79.79,67.0,92.0,4.12,1599706983
14.31,121.11,santa rosa,py,91.99,70.0,40.0,6.93,1599706984
32.22,-98.2,stephenville,ca,54.0,93.0,90.0,12.75,1599706984
55.17,26.0,svencioneliai,lt,59.77,94.0,100.0,15.05,1599706984
60.47,22.02,naantali,fi,50.0,93.0,40.0,8.05,1599706984
-9.44,147.18,port moresby,pg,80.98,67.0,66.0,16.93,1599706985
-17.71,-39.25,caravelas,br,69.33,81.0,47.0,4.83,1599706985
-35.33,-72.42,constitucion,mx,51.64,87.0,0.0,4.83,1599706985
77.48,-69.36,qaanaaq,gl,22.42,82.0,76.0,5.73,1599706664
64.38,-173.3,provideniya,ru,51.8,71.0,75.0,13.42,1599706650
3.17,113.03,bintulu,my,82.4,88.0,40.0,3.36,1599706986
43.8,87.6,urumqi,cn,62.6,55.0,53.0,8.95,1599706813
20.93,-17.03,nouadhibou,mr,78.8,83.0,0.0,6.93,1599706986
67.45,153.68,srednekolymsk,ru,54.95,53.0,80.0,6.38,1599706986
32.88,13.19,tripoli,ly,77.56,78.0,0.0,13.33,1599706986
64.25,-15.21,hofn,is,45.84,84.0,100.0,5.7,1599706686
-15.77,128.73,kununurra,au,95.31,19.0,0.0,15.39,1599706987
50.9,-3.48,tiverton,gb,46.0,95.0,1.0,5.77,1599706987
20.7,-105.2,ixtapa,mx,79.0,94.0,90.0,5.82,1599706811
14.76,-90.99,tecpan,mx,68.0,93.0,40.0,4.7,1599706987
36.65507235439864,19.475330537231315,mouzakion,gr,,,,,
69.38,178.42,leningradskiy,ru,45.59,75.0,100.0,14.99,1599706642
-22.02,-47.89,sao carlos,br,71.6,53.0,94.0,3.36,1599706952
26.29,73.03,jodhpur,in,87.01,57.0,0.0,9.46,1599706785
17.49,44.13,najran,sa,75.2,41.0,1.0,0.76,1599706988
57.05,-135.33,sitka,us,57.2,93.0,90.0,4.7,1599706988
4.73,-52.33,roura,gf,77.0,94.0,32.0,4.25,1599706989
35.73,140.83,hasaki,jp,87.8,83.0,75.0,12.75,1599706941
-20.41,57.7,mahebourg,mu,69.8,88.0,75.0,17.22,1599706655
-4.39,-59.59,borba,br,84.07,46.0,48.0,0.85,1599706989
-20.02,148.23,bowen,au,77.0,44.0,75.0,16.11,1599706989
-20.52,57.52,souillac,mu,69.8,88.0,75.0,17.22,1599706685
7.52,-78.17,jaque,pa,77.41,83.0,57.0,2.57,1599706990
61.51,38.95,kargopol,ru,49.17,92.0,90.0,6.8,1599706990
27.98,-114.06,guerrero negro,mx,76.44,73.0,0.0,12.01,1599706658
50.7,-127.42,port hardy,ca,68.0,64.0,5.0,6.78,1599706403
39.21,54.59,gumdag,tm,72.64,21.0,0.0,3.98,1599706991
-9.88,-56.09,alta floresta,br,79.09,31.0,10.0,2.46,1599706991
-0.95,-80.73,manta,ec,71.6,83.0,40.0,4.7,1599706991
-29.95,-71.34,coquimbo,cl,53.6,81.0,1.0,6.93,1599706992
48.04,40.05,almaznyy,ru,48.2,66.0,0.0,2.24,1599706992
70.98,25.97,honningsvag,no,49.42,82.0,2.0,1.48,1599706986
-6.22,149.55,kandrian,pg,80.74,78.0,97.0,13.85,1599706992
29.97,32.53,suez,eg,73.56,84.0,0.0,9.46,1599706992
-19.55,169.27,isangel,vu,77.0,73.0,40.0,9.17,1599706670
26.62,-78.28,high rock,bs,83.55,77.0,100.0,13.47,1599706993
15.13,-23.22,vila do maio,cv,78.8,88.0,40.0,3.36,1599706993
41.12,80.26,aksu,cn,72.54,38.0,0.0,4.79,1599706642
65.58,-171.0,lavrentiya,ru,46.18,76.0,63.0,12.77,1599706993
35.01,37.05,salamiyah,sy,68.18,44.0,0.0,1.14,1599706994
28.5,-13.86,puerto del rosario,es,73.4,78.0,5.0,10.29,1599706994
36.62,-121.92,pacific grove,us,61.0,94.0,42.0,3.51,1599706994
40.37,-80.63,steubenville,us,73.4,64.0,1.0,8.05,1599706960
61.67,96.37,baykit,ru,54.88,62.0,63.0,1.81,1599706994
40.43,71.72,komsomolskiy,ru,69.8,35.0,0.0,2.24,1599706693
1.538880932281586,-170.53696989133815,saleaula,ws,,,,,
61.99,-49.67,paamiut,gl,39.99,78.0,88.0,22.97,1599706995
-0.91,122.88,biak,id,82.15,73.0,28.0,8.23,1599706995
39.83,44.7,ararat,au,64.4,55.0,0.0,5.82,1599706996
